build_id,car_id,make,model,variant,year,mods_applied,mod_description,result_hp,result_torque,result_0_100,result_top_speed,result_quarter_mile,measurement_type,source_type,source_url,result_torque_nm,confidence
BUILD_73D3A06E,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_F2E59F44,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_078CED9F,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_92EAF773,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_199915EB,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_CEE8FD9C,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_4669CBBD,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_6065B6BC,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_61AD5F87,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_648CEEC7,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_0706E77B,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_E83833BE,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_9E0C9142,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_90CAD56B,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_E274129E,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_B0CAD718,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_10A76E37,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_52962BB1,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_1167FE8D,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_8994EC87,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_30C245DC,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_48A5EDEE,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_890621E8,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_C11F7795,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_DFAB981F,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_342C61E5,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_C5E6C31E,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_C906205C,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_831DBA0C,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_BF6CAFB6,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_BD338665,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_C5CCA990,APR Stage 2 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_FD524542,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_7AC278A9,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_14172A87,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_E5A7DC98,APR Stage 2 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_506DC81A,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_EFCA9956,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_C4452F4A,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_B6184189,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_12B55BAD,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_4F847C38,APR Stage 2 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_2CF3206D,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_8FC2CFD3,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_08189D15,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_5C020C7F,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_1F4EA1C0,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_9C9E0441,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_EF2B80DD,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_39305182,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_D9E55951,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_D83158AC,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_2BF3C02F,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_1C38A922,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_0D167507,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_F6F16646,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_32CEDBA5,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_894C708A,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_2DCC2811,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_7CF0DCA6,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_52179741,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_4E57AA28,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_4DC2B0B9,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_E64C884E,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_73813901,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_304E6C27,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_35018E58,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_2C524C56,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_0F391997,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_E30F4656,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_5D80BC4F,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_15DA661C,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_01253B27,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_B0BEC5B7,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_68CF7394,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_293B8043,APR Stage 2 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_DE051C76,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_122590F9,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_66CB0057,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_8C3E4966,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_4F6103CC,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_E66D1CE2,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_14D3C8FE,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_8505F821,APR Stage 1 ECU Upgrade,465.5,,3.61,,,synthetic,synthetic,synthetic,,0.4
BUILD_B7692EDD,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_227368B2,APR Stage 2 ECU Upgrade,546.5,,3.27,,,synthetic,synthetic,synthetic,,0.4
BUILD_2311FF74,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_0B10F06B,APR Stage 1 ECU Upgrade,447.1,,3.69,,,synthetic,synthetic,synthetic,,0.4
BUILD_F37E4979,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_CA3B1785,APR Stage 2 ECU Upgrade,547.7,,3.27,,,synthetic,synthetic,synthetic,,0.4
BUILD_A7ADAD98,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_53CA51C8,APR Stage 1 ECU Upgrade,447.4,,3.69,,,synthetic,synthetic,synthetic,,0.4
BUILD_25B617BF,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_D037C1BF,APR Stage 2 ECU Upgrade,499.6,,3.46,,,synthetic,synthetic,synthetic,,0.4
BUILD_2C9D03E9,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_FDB0604A,APR Stage 1 ECU Upgrade,477.0,,3.55,,,synthetic,synthetic,synthetic,,0.4
BUILD_0BA0032A,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_B32F74C0,APR Stage 2 ECU Upgrade,568.7,,3.2,,,synthetic,synthetic,synthetic,,0.4
BUILD_7B53D396,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_6B16EC1C,APR Stage 1 ECU Upgrade,458.2,,3.64,,,synthetic,synthetic,synthetic,,0.4
BUILD_ADC4B2BD,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_0EC5426C,APR Stage 2 ECU Upgrade,519.6,,3.38,,,synthetic,synthetic,synthetic,,0.4
BUILD_E54324D0,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_B3F525C2,APR Stage 1 ECU Upgrade,479.6,,3.54,,,synthetic,synthetic,synthetic,,0.4
BUILD_82C9DA87,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_E8142244,APR Stage 2 ECU Upgrade,569.2,,3.2,,,synthetic,synthetic,synthetic,,0.4
BUILD_4581788C,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_106917EC,APR Stage 1 ECU Upgrade,427.0,,3.8,,,synthetic,synthetic,synthetic,,0.4
BUILD_B3C5B17D,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_1370EDD6,APR Stage 2 ECU Upgrade,487.2,,3.51,,,synthetic,synthetic,synthetic,,0.4
BUILD_BCCD2566,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_168A3810,APR Stage 1 ECU Upgrade,446.9,,3.7,,,synthetic,synthetic,synthetic,,0.4
BUILD_9279F97F,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_553212FD,APR Stage 2 ECU Upgrade,547.8,,3.27,,,synthetic,synthetic,synthetic,,0.4
BUILD_844C85BA,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_7C5E015A,APR Stage 1 ECU Upgrade,416.5,,3.85,,,synthetic,synthetic,synthetic,,0.4
BUILD_FE628DF7,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_616E5824,APR Stage 2 ECU Upgrade,483.9,,3.52,,,synthetic,synthetic,synthetic,,0.4
BUILD_56B78331,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_69BD00E2,APR Stage 1 ECU Upgrade,431.1,,3.78,,,synthetic,synthetic,synthetic,,0.4
BUILD_9472B2F4,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_2E82A8EE,APR Stage 2 ECU Upgrade,484.8,,3.52,,,synthetic,synthetic,synthetic,,0.4
BUILD_D1EC5C56,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_CDA74DFF,APR Stage 1 ECU Upgrade,463.3,,3.62,,,synthetic,synthetic,synthetic,,0.4
BUILD_80118476,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_5AC0C54D,APR Stage 2 ECU Upgrade,516.9,,3.39,,,synthetic,synthetic,synthetic,,0.4
BUILD_5CA396D8,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_CC5125F6,RaceChip ECU Tuning Box,463.7,,3.61,,,synthetic,synthetic,synthetic,,0.4
BUILD_7CEFAD7B,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_EE1882FB,RaceChip ECU Tuning Box,441.5,,3.72,,,synthetic,synthetic,synthetic,,0.4
BUILD_B9F38C64,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_563993C5,RaceChip ECU Tuning Box,428.5,,3.79,,,synthetic,synthetic,synthetic,,0.4
BUILD_4898A9DA,CAR_846B2C71,Audi,A3,25 tfsi rs 3 quattro (nav) 5d s tronic,2015.0,MOD_E600915A,RaceChip ECU Tuning Box,455.5,,3.65,,,synthetic,synthetic,synthetic,,0.4
BUILD_8A5F9976,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_3BD6FDD6,Stage 1 ECU Remap — Petrol Turbo,526.7,,3.61,,,synthetic,synthetic,synthetic,707.4,0.4
BUILD_7A15BE49,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_2F757445,Stage 2 ECU Remap — Petrol Turbo,581.7,,3.4,,,synthetic,synthetic,synthetic,808.5,0.4
BUILD_337F6901,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_2CC340E6,Stage 3 ECU Remap — Petrol Turbo,708.2,,3.02,,,synthetic,synthetic,synthetic,963.7,0.4
BUILD_80A590AC,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_3F8E3EB8,OBD Tune / E-Tune (Remote),517.8,,3.64,,,synthetic,synthetic,synthetic,697.5,0.4
BUILD_EBE7E9C1,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_5560E728,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_483BEA7F,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_B9804A92,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_E0E86FB0,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_49BE092A,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_92FAD045,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_8BCEC7E7,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_266A72DB,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_F48E2A3D,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_D5321099,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_B33B334F,APR Stage 2 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_E75D543B,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_D3C53CC9,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_545CAA83,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_844B837F,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_19DDAEC0,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_B928492C,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_6D9024C2,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_5C4E0959,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_17777AED,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_A8124229,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_2466168B,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_17A1B673,APR Stage 2 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_71F75965,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_50201C40,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_635B1806,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_0B6F34A3,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_87B33467,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_8F973B59,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_68BE32FA,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_C921068B,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_6053A41C,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_171298EE,APR Stage 2 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_7C1B8A7B,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_040D67C9,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_92F08947,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_16D9AB5C,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_EF299162,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_524BF1EB,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_5902CF8B,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_0D10FA70,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_7500F725,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_B329F971,APR Stage 2 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_B5C9D3D4,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_E605B00B,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_CFAAB537,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_50B94CF8,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_F4B1EA4B,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_ECBEEAD3,APR Stage 2 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_AFB8EED5,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_65ADDEBB,APR Stage 2 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_395C6A74,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_F9D0D1FD,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_0D5934AB,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_390A34F6,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_9B61B6C3,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_EEE60B38,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_9CAC285C,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_EECA78B2,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_74C4EB95,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_F76C15E3,APR Stage 2 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_A0941D11,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_C10D4966,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_050C54DB,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_4D51C7B5,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_5A5A13D4,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_5A686F93,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_838EE9A2,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_9A8BF1AF,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_4EF48DE4,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_D14573AB,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_7F1CC5E7,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_96C59018,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_7DFBBB8A,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_E72F64B1,APR Stage 2 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_9463B3BD,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_50F29FAF,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_0FF58B90,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_F667D273,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_B71D54AE,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_3EB9A66A,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_E4FE7200,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_41DD0CAE,APR Stage 2 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_2B1588E9,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_35B81C65,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_24FFF73E,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_FE1DD696,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_E1A5C08B,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_81E1599B,APR Stage 2 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_6500ADA5,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_2A9FC004,APR Stage 3 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_C7C140EE,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_76346359,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_3C85A4AA,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_607E7E44,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
BUILD_5196C370,CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,2017.0,MOD_13D42331,APR Stage 1 ECU Upgrade,,,,,,synthetic,synthetic,synthetic,,0.4
